Marca de Tiempo,Uso de Memoria (%)
00:09:50, 41.6
00:09:51, 41.7
00:09:52, 41.7
00:09:53, 42.3
00:09:54, 42.2
00:09:55, 42.2
00:09:56, 42.3
00:09:58, 42.2
00:09:59, 42.3
00:10:00, 42.3
00:10:01, 42.3
00:10:02, 42.2
00:10:03, 42.3
00:10:04, 42.3
00:10:05, 42.3
00:10:06, 42.3
00:10:07, 42.3
00:10:08, 42.3
00:10:09, 42.3
00:10:10, 42.3
00:10:11, 42.3
00:10:12, 42.3
00:10:13, 42.3
00:10:14, 42.3
00:10:15, 42.3
00:10:16, 42.3
00:10:17, 42.3
00:10:18, 42.3
00:10:19, 42.3
00:10:20, 42.3
00:10:21, 42.3
00:10:22, 42.3
00:10:23, 42.3
00:10:24, 42.3
00:10:25, 42.3
00:10:26, 42.3
00:10:27, 42.3
00:10:28, 42.3
00:10:29, 42.3
00:10:30, 42.3
00:10:31, 42.3
00:10:32, 42.3
00:10:33, 42.3
00:10:34, 42.3
00:10:35, 42.4
00:10:36, 42.5
00:10:37, 42.5
00:10:38, 42.5
00:10:39, 42.5
00:10:40, 42.5
00:10:41, 42.5
00:10:42, 42.5
00:10:43, 42.5
00:10:44, 43.3
00:10:45, 44.3
00:10:46, 44.8
00:10:47, 44.3
00:10:48, 44.4
00:10:49, 44.6
00:10:50, 44.5
00:10:51, 44.5
00:10:52, 44.9
00:10:53, 44.8
00:10:54, 44.8
00:10:55, 44.8
00:10:56, 44.9
00:10:57, 44.3
00:10:58, 44.4
00:10:59, 44.4
00:11:00, 44.5
00:10:54, 44.5
00:10:55, 44.5
00:10:56, 44.4
00:10:57, 44.6
00:10:58, 44.5
00:10:59, 44.5
00:11:00, 44.4
00:11:01, 44.5
00:11:02, 44.6
00:11:03, 44.6
